 Hours, Load_Level, Pdg(kW)
1,0.4757,877.11
2,0.4473,806.94
3,0.426,771.86
4,0.4189,771.86
5,0.4189,771.86
6,0.426,771.86
7,0.5254,947.28
8,0.6106,1122.7
9,0.6745,1227.95
10,0.6816,1227.95
11,0.6816,1227.95
12,0.6745,1227.95
13,0.6745,1227.95
14,0.6745,1227.95
15,0.6603,1192.87
16,0.6674,1227.95
17,0.7029,1298.12
18,0.71,1298.12
19,0.71,1298.12
20,0.6816,1227.95
21,0.6461,1192.87
22,0.5893,1087.61
23,0.5183,947.28
24,0.4473,806.94
25,0.3969,736.77
26,0.3906,701.69
27,0.378,701.69
28,0.3654,666.6
29,0.3717,666.6
30,0.4095,736.77
31,0.4536,842.02
32,0.5355,982.36
33,0.5985,1087.61
34,0.6237,1122.7
35,0.63,1157.78
36,0.6237,1122.7
37,0.5859,1052.53
38,0.5796,1052.53
39,0.567,1017.45
40,0.5544,1017.45
41,0.567,1017.45
42,0.5796,1052.53
43,0.6048,1087.61
44,0.6174,1122.7
45,0.6048,1087.61
46,0.567,1017.45
47,0.504,912.19
48,0.441,806.94
49,0.64,1157.78
50,0.6,1087.61
51,0.58,1052.53
52,0.56,1017.45
53,0.56,1017.45
54,0.58,1052.53
55,0.64,1157.78
56,0.76,1403.37
57,0.87,1578.79
58,0.95,1719.13
59,0.99,1824.39
60,1,1824.39
61,0.99,1824.39
62,1,1824.39
63,1,1824.39
64,0.97,1754.22
65,0.96,1754.22
66,0.96,1754.22
67,0.93,1684.05
68,0.92,1684.05
69,0.92,1684.05
70,0.93,1684.05
71,0.87,1578.79
72,0.72,1298.12
73,0.3717,666.6
74,0.3658,666.6
75,0.354,631.52
76,0.3422,631.52
77,0.3481,631.52
78,0.3835,701.69
79,0.4248,771.86
80,0.5015,912.19
81,0.5605,1017.45
82,0.5841,1052.53
83,0.59,1087.61
84,0.5841,1052.53
85,0.5487,982.36
86,0.5428,982.36
87,0.531,982.36
88,0.5192,947.28
89,0.531,982.36
90,0.5428,982.36
91,0.5664,1017.45
92,0.5782,1052.53
93,0.5664,1017.45
94,0.531,982.36
95,0.472,842.02
96,0.413,736.77
