Loadlevel,Pdg,DG Position,PLoss
0.300000,53.703704,2, 1.384085
0.300000,107.407407,2, 1.224921
0.300000,161.111111,2, 1.268848
0.300000,214.814815,2, 1.514167
0.300000,268.518519,2, 1.959203
0.300000,322.222222,2, 2.602303
0.300000,375.925926,2, 3.441840
0.300000,429.629630,2, 4.476207
0.300000,483.333333,2, 5.703821
0.300000,537.037037,2, 7.123122
0.300000,590.740741,2, 8.732568
0.300000,644.444444,2, 10.530642
0.300000,698.148148,2, 12.515846
0.300000,751.851852,2, 14.686701
0.300000,805.555556,2, 17.041749
0.300000,859.259259,2, 19.579553
0.300000,912.962963,2, 22.298693
0.300000,966.666667,2, 25.197769
0.300000,1020.370370,2, 28.275398
0.300000,1074.074074,2, 31.530218
0.300000,1127.777778,2, 34.960882
0.300000,1181.481481,2, 38.566061
0.300000,1235.185185,2, 42.344445
0.300000,1288.888889,2, 46.294739
0.300000,1342.592593,2, 50.415664
0.300000,1396.296296,2, 54.705960
0.300000,1450.000000,2, 59.164379
0.300000,1503.703704,2, 63.789693
0.300000,1557.407407,2, 68.580686
0.300000,1611.111111,2, 73.536159
0.300000,1664.814815,2, 78.654927
0.300000,1718.518519,2, 83.935821
0.300000,1772.222222,2, 89.377683
0.300000,1825.925926,2, 94.979373
0.300000,1879.629630,2, 100.739763
0.300000,1933.333333,2, 106.657739
0.300000,1987.037037,2, 112.732199
0.300000,2040.740741,2, 118.962057
0.300000,2094.444444,2, 125.346238
0.300000,2148.148148,2, 131.883680
0.300000,53.703704,3, 1.118995
0.300000,107.407407,3, 0.885815
0.300000,161.111111,3, 1.042136
0.300000,214.814815,3, 1.581749
0.300000,268.518519,3, 2.498609
0.300000,322.222222,3, 3.786833
0.300000,375.925926,3, 5.440695
0.300000,429.629630,3, 7.454617
0.300000,483.333333,3, 9.823168
0.300000,537.037037,3, 12.541052
0.300000,590.740741,3, 15.603111
0.300000,644.444444,3, 19.004314
0.300000,698.148148,3, 22.739757
0.300000,751.851852,3, 26.804655
0.300000,805.555556,3, 31.194341
0.300000,859.259259,3, 35.904258
0.300000,912.962963,3, 40.929961
0.300000,966.666667,3, 46.267108
0.300000,1020.370370,3, 51.911459
0.300000,1074.074074,3, 57.858873
0.300000,1127.777778,3, 64.105304
0.300000,1181.481481,3, 70.646798
0.300000,1235.185185,3, 77.479490
0.300000,1288.888889,3, 84.599603
0.300000,1342.592593,3, 92.003441
0.300000,1396.296296,3, 99.687392
0.300000,1450.000000,3, 107.647920
0.300000,1503.703704,3, 115.881568
