Loadlevel,Pdg,DG position,PLoss
0.300000,80.760870,2,16.351054
0.300000,161.521739,2,16.219060
0.300000,242.282609,2,16.097494
0.300000,323.043478,2,15.986350
0.300000,403.804348,2,15.885627
0.300000,484.565217,2,15.795319
0.300000,565.326087,2,15.715423
0.300000,646.086957,2,15.645936
0.300000,726.847826,2,15.586852
0.300000,807.608696,2,15.538170
0.300000,888.369565,2,15.499884
0.300000,969.130435,2,15.471991
0.300000,1049.891304,2,15.454487
0.300000,1130.652174,2,15.447368
0.300000,1211.413043,2,15.450631
0.300000,1292.173913,2,15.464271
0.300000,1372.934783,2,15.488285
0.300000,1453.695652,2,15.522669
0.300000,1534.456522,2,15.567420
0.300000,1615.217391,2,15.622533
0.300000,1695.978261,2,15.688005
0.300000,1776.739130,2,15.763831
0.300000,1857.500000,2,15.850009
0.300000,1938.260870,2,15.946534
0.300000,2019.021739,2,16.053402
0.300000,2099.782609,2,16.170610
0.300000,2180.543478,2,16.298154
0.300000,2261.304348,2,16.436030
0.300000,2342.065217,2,16.584235
0.300000,2422.826087,2,16.742764
0.300000,2503.586957,2,16.911614
0.300000,2584.347826,2,17.090781
0.300000,2665.108696,2,17.280262
0.300000,2745.869565,2,17.480052
0.300000,2826.630435,2,17.690148
0.300000,2907.391304,2,17.910545
0.300000,2988.152174,2,18.141241
0.300000,3068.913043,2,18.382232
0.300000,3149.673913,2,18.633513
0.300000,3230.434783,2,18.895082
0.300000,80.760870,3,15.676120
0.300000,161.521739,3,14.926486
0.300000,242.282609,3,14.244418
0.300000,323.043478,3,13.629756
0.300000,403.804348,3,13.082341
0.300000,484.565217,3,12.602015
0.300000,565.326087,3,12.188620
0.300000,646.086957,3,11.842000
0.300000,726.847826,3,11.561996
0.300000,807.608696,3,11.348454
0.300000,888.369565,3,11.201219
0.300000,969.130435,3,11.120135
0.300000,1049.891304,3,11.105048
0.300000,1130.652174,3,11.155805
0.300000,1211.413043,3,11.272254
0.300000,1292.173913,3,11.454241
0.300000,1372.934783,3,11.701616
0.300000,1453.695652,3,12.014226
0.300000,1534.456522,3,12.391922
0.300000,1615.217391,3,12.834553
0.300000,1695.978261,3,13.341970
0.300000,1776.739130,3,13.914025
0.300000,1857.500000,3,14.550568
0.300000,1938.260870,3,15.251453
0.300000,2019.021739,3,16.016532
0.300000,2099.782609,3,16.845659
0.300000,2180.543478,3,17.738688
0.300000,2261.304348,3,18.695472
0.300000,2342.065217,3,19.715868
0.300000,2422.826087,3,20.799731
0.300000,2503.586957,3,21.946917
0.300000,2584.347826,3,23.157283
0.300000,2665.108696,3,24.430686
0.300000,2745.869565,3,25.766984
0.300000,2826.630435,3,27.166036
0.300000,2907.391304,3,28.627700
0.300000,2988.152174,3,30.151835
0.300000,3068.913043,3,31.738303
0.300000,3149.673913,3,33.386962
0.300000,3230.434783,3,35.097674
0.300000,80.760870,4,15.322917
0.300000,161.521739,4,14.263604
0.300000,242.282609,4,13.315110
0.300000,323.043478,4,12.477008
0.300000,403.804348,4,11.748874
0.300000,484.565217,4,11.130285
0.300000,565.326087,4,10.620823
0.300000,646.086957,4,10.220071
0.300000,726.847826,4,9.927616
0.300000,807.608696,4,9.743045
0.300000,888.369565,4,9.665951
0.300000,969.130435,4,9.695927
0.300000,1049.891304,4,9.832571
0.300000,1130.652174,4,10.075480
0.300000,1211.413043,4,10.424256
0.300000,1292.173913,4,10.878505
0.300000,1372.934783,4,11.437831
0.300000,1453.695652,4,12.101845
0.300000,1534.456522,4,12.870157
0.300000,1615.217391,4,13.742381
0.300000,1695.978261,4,14.718134
0.300000,1776.739130,4,15.797034
0.300000,1857.500000,4,16.978701
0.300000,1938.260870,4,18.262759
0.300000,2019.021739,4,19.648834
0.300000,2099.782609,4,21.136554
0.300000,2180.543478,4,22.725547
0.300000,2261.304348,4,24.415447
0.300000,2342.065217,4,26.205888
0.300000,2422.826087,4,28.096507
0.300000,2503.586957,4,30.086943
0.300000,2584.347826,4,32.176836
0.300000,2665.108696,4,34.365830
0.300000,2745.869565,4,36.653571
0.300000,2826.630435,4,39.039705
0.300000,2907.391304,4,41.523882
0.300000,2988.152174,4,44.105754
0.300000,3068.913043,4,46.784975
0.300000,3149.673913,4,49.561200
0.300000,3230.434783,4,52.434087
0.300000,80.760870,5,14.974139
0.300000,161.521739,5,13.612295
0.300000,242.282609,5,12.407089
0.300000,323.043478,5,11.357672
0.300000,403.804348,5,10.463202
0.300000,484.565217,5,9.722844
0.300000,565.326087,5,9.135771
0.300000,646.086957,5,8.701163
0.300000,726.847826,5,8.418208
0.300000,807.608696,5,8.286101
0.300000,888.369565,5,8.304044
0.300000,969.130435,5,8.471245
0.300000,1049.891304,5,8.786921
0.300000,1130.652174,5,9.250295
0.300000,1211.413043,5,9.860595
0.300000,1292.173913,5,10.617058
0.300000,1372.934783,5,11.518927
0.300000,1453.695652,5,12.565450
0.300000,1534.456522,5,13.755885
0.300000,1615.217391,5,15.089493
0.300000,1695.978261,5,16.565542
0.300000,1776.739130,5,18.183307
0.300000,1857.500000,5,19.942069
0.300000,1938.260870,5,21.841115
0.300000,2019.021739,5,23.879737
0.300000,2099.782609,5,26.057235
0.300000,2180.543478,5,28.372912
0.300000,2261.304348,5,30.826080
0.300000,2342.065217,5,33.416055
0.300000,2422.826087,5,36.142158
0.300000,2503.586957,5,39.003716
0.300000,2584.347826,5,42.000064
0.300000,2665.108696,5,45.130538
0.300000,2745.869565,5,48.394484
0.300000,2826.630435,5,51.791250
0.300000,2907.391304,5,55.320190
0.300000,2988.152174,5,58.980665
