Hours, Load_Level,Ploss(kW),Qloss(kVAr),Bus_No,Vmin
1,0.4757,42.46407,28.280985,18,0.960367
2,0.4473,37.399191,24.90633,18,0.962813
3,0.426,33.823829,22.524305,18,0.96464
4,0.4189,32.674232,21.75844,18,0.965248
5,0.4189,32.674232,21.75844,18,0.965248
6,0.426,33.823829,22.524305,18,0.96464
7,0.5254,52.158113,34.740796,18,0.956061
8,0.6106,71.294867,47.495763,18,0.948599
9,0.6745,87.797551,58.49778,18,0.942934
10,0.6816,89.747652,59.798027,18,0.942301
11,0.6816,89.747652,59.798027,18,0.942301
12,0.6745,87.797551,58.49778,18,0.942934
13,0.6745,87.797551,58.49778,18,0.942934
14,0.6745,87.797551,58.49778,18,0.942934
15,0.6603,83.967762,55.944325,18,0.944198
16,0.6674,85.870947,57.21323,18,0.943567
17,0.7029,95.739707,63.793478,18,0.940397
18,0.71,97.784569,65.157042,18,0.939761
19,0.71,97.784569,65.157042,18,0.939761
20,0.6816,89.747652,59.798027,18,0.942301
21,0.6461,80.231347,53.453246,18,0.945459
22,0.5893,66.207431,44.104558,18,0.950474
23,0.5183,50.707869,33.774334,18,0.956678
24,0.4473,37.399191,24.90633,18,0.962813
25,0.3969,29.245107,19.474049,18,0.967127
26,0.3906,28.299988,18.844463,18,0.967663
27,0.378,26.458698,17.617935,18,0.968736
28,0.3654,24.682388,16.434738,18,0.969806
29,0.3717,25.562442,17.020935,18,0.969271
30,0.4095,31.184511,20.766009,18,0.966051
31,0.4536,38.493254,25.635263,18,0.962271
32,0.5355,54.259015,36.140905,18,0.955182
33,0.5985,68.379749,45.552561,18,0.949665
34,0.6237,74.525642,49.649469,18,0.947443
35,0.63,76.107175,50.703788,18,0.946886
36,0.6237,74.525642,49.649469,18,0.947443
37,0.5859,65.414232,43.575845,18,0.950773
38,0.5796,63.958154,42.605302,18,0.951326
39,0.567,61.099109,40.699676,18,0.95243
40,0.5544,58.31055,38.841107,18,0.953533
41,0.567,61.099109,40.699676,18,0.95243
42,0.5796,63.958154,42.605302,18,0.951326
43,0.6048,69.889289,46.558802,18,0.94911
44,0.6174,72.962184,48.607221,18,0.947999
45,0.6048,69.889289,46.558802,18,0.94911
46,0.567,61.099109,40.699676,18,0.95243
47,0.504,47.853377,31.872126,18,0.957919
48,0.441,36.321855,24.188556,18,0.963354
49,0.64,78.654787,52.402185,18,0.946
50,0.6,68.73754,45.791059,18,0.949533
51,0.58,64.050076,42.666571,18,0.951291
52,0.56,59.541233,39.661345,18,0.953043
53,0.56,59.541233,39.661345,18,0.953043
54,0.58,64.050076,42.666571,18,0.951291
55,0.64,78.654787,52.402185,18,0.946
56,0.76,112.865988,75.214697,18,0.935259
57,0.87,150.356302,100.223795,18,0.925217
58,0.95,181.493358,121.00186,18,0.91779
59,0.99,198.332052,132.240981,18,0.914035
60,1,202.676991,135.141319,18,0.913092
61,0.99,198.332052,132.240981,18,0.914035
62,1,202.676991,135.141319,18,0.913092
63,1,202.676991,135.141319,18,0.913092
64,0.97,189.80505,126.549353,18,0.915916
65,0.96,185.622429,123.757684,18,0.916853
66,0.96,185.622429,123.757684,18,0.916853
67,0.93,173.394776,115.597009,18,0.919657
68,0.92,169.424726,112.947616,18,0.920588
69,0.92,169.424726,112.947616,18,0.920588
70,0.93,173.394776,115.597009,18,0.919657
71,0.87,150.356302,100.223795,18,0.925217
72,0.72,100.705189,67.104638,18,0.938864
73,0.3717,25.562442,17.020935,18,0.969271
74,0.3658,24.737784,16.471636,18,0.969772
75,0.354,23.130959,15.401371,18,0.970772
76,0.3422,21.580558,14.368726,18,0.971771
77,0.3481,22.348723,14.880357,18,0.971272
78,0.3835,27.254424,18.147982,18,0.968268
79,0.4248,33.628054,22.393878,18,0.964743
80,0.5015,47.363425,31.545635,18,0.958136
81,0.5605,59.65179,39.735031,18,0.952999
82,0.5841,64.996398,43.297338,18,0.950931
83,0.59,66.37138,44.21384,18,0.950413
84,0.5841,64.996398,43.297338,18,0.950931
85,0.5487,57.072109,38.015713,18,0.95403
86,0.5428,55.805284,37.171418,18,0.954545
87,0.531,53.317464,35.51342,18,0.955574
88,0.5192,50.890489,33.896033,18,0.9566
89,0.531,53.317464,35.51342,18,0.955574
90,0.5428,55.805284,37.171418,18,0.954545
91,0.5664,60.964725,40.610107,18,0.952483
92,0.5782,63.636989,42.391233,18,0.951449
93,0.5664,60.964725,40.610107,18,0.952483
94,0.531,53.317464,35.51342,18,0.955574
95,0.472,41.784805,27.828383,18,0.960686
96,0.413,31.734904,21.13267,18,0.965752
